ARTIST,ALBUM,TYPE,YEAR,GENRE
"Cockburn, Bruce",Further Adventures of,LP,1978,Rock
"Collins, Judy",So Early in the  Spring,LP,1973,Soft Rock
"Collins, Judy",Judith,LP,1975,Soft Rock
"Colins, Judy",Bread & Roses,LP,1976,Soft Rock
"Collins, Judy",Hard Times for  Lovers,LP,1979,Soft Rock
Cream,Fresh Cream,LP,1966,Rock
Cream,Disraeli Gears,LP,1967,Rock
Cream,Wheels of Fire,LP,1968,Rock
Cream,Heavy Cream,LP,1972,Rock
"Crosby, Stills & Nash","Crosby, Stills & Nash",LP,1969,Rock
"Crosby, Stills & Nash",Daylight Again,LP,1982,Rock
"Cross, Christopher",Christopher  Cross,LP,1979,Rock
Dan Fogleberg & Tim Weisberg,Twin Sons of  Different Mothers,LP,1978,Jazz
Derek and the Dominio's,Layla,LP,1970,Rock
Doobie Brothers,Stampede,LP,1975,Rock
"Doobie Brothers, The",The Captain and Me,LP,1973,Rock
"Doobie Brothers, The",What Were Once Vices are Now Habit,LP,1974,Rock
"Doobie Brothers, The",Best of the  Doobies,LP,1976,Rock
"Doobie Brothers, The",Minute by Minute,LP,1978,Rock
"Doobie Brothers, The",Minute by Minute,LP,1978,Rock
"Doobie Brothers, The",One Step Closer,LP,1980,Rock
Dueling Banjo's,Soundtrack,LP,1973,Soundtrack
Dvorak,,LP,1977,Classical
Eagles,Eagles,LP,1972,Rock
Eagles,The Long Run,LP,1979,Rock
Earl Klugh & Bob James,Two  of a Kind,LP,1982,Jazz
Earth Wind & Fire,Best of Volume 1,LP,1978,Rock
"Edwards, Jonathan",Jonathan Edwards,LP,1971,Rock
Electric Light Orchestra,Out of the Blue,LP,1977,Rock
Emerson Lake & Palmer,Trilogy,LP,1972,Rock
"Evans, Bill",Montreaus Ill,LP,1976,Jazz
"Evans, Bill",The Bill Evans Album,LP,1971,Jazz
"Fagen, Becker, Diaz",You Gotta Walk It Like you Talk it,LP,1978,Rock
Fleetwood Mac,Fleetwood Mac,LP,1975,Rock
Fleetwood Mac,Rumors,LP,1977,Rock
Fleetwood Mac,Rumors,LP,1977,Rock
Focus,Moving Waves,LP,1971,Rock
"Fogleberg, Dan",Souveniers,LP,1974,Rock
"Fogleberg, Dan",Catured Angel,LP,1975,Rock
"Fogleberg, Dan",Netherland,LP,1977,Rock
Footloose,Soundtrack,LP,1984,Soundtrack
"Franklin, Aretha",Who's Zoomin Who,LP,1985,Soft Rock
"Gale, Eric",Multiplication,LP,1977,Jazz
"Garfunkle, Art",Angel Claire,LP,1973,Soft Rock
"Garfunkle, Art",Breakaway,LP,1975,Soft Rock
"Garfunkle, Art",Watermark,LP,1977,Soft Rock
"Garfunkle, Art",Fate for  Breakfast,LP,1979,Soft Rock
"Goodman, Steve",The Essential,LP,1976,Rock
"Goodman, Steve",Say it  in Private,LP,1977,Rock
"Goodman, Steve",High & Outside,LP,1979,Rock
"Grappelli, Stephane/David Grisn",LIVE,LP,1981,Jazz
"Grusin, Dave",Mountain Dance,LP,1980,Jazz
"Grusin, Dave",Night Lines,LP,1984,Jazz
"Guaraldi, Vince",Oh Good Grief,LP,,Jazz
"Guthrie, Ario",Hobo's Lullaby,LP,1972,Country
"Guthrie, Ario",Ario Guthrie,LP,1974,Country
"Harris, Emmylou",luxury liner,LP,1977,Soft Rock
"Harris, Emmylou",Blue Kentucky Girl,LP,1979,Soft Rock
"Harrison, George",Living in the Material World,LP,1973,Rock
"Hartford, John",Aero Plain,LP,1971,Country
Heart,Dreamboat Annie,LP,1976,Soft Rock
Heart,Uttle Queen,LP,1977,Soft Rock
"Hubbard, Freddie",Super Blue,LP,1978,Jazz
"Jackson, Michael",Thriller,LP,1982,Rock
"James, Bob",Heads,LP,1977,Jazz
"James, Bob",Touchdown,LP,1978,Jazz
"James, Bob",H,LP,1980,Jazz
Jesus Christ Superstar,Soundtrack,LP,1973,Soundtrack
Jethro Tull,Thick as a Brick,LP,1972,Rock
Jethro Tull,Living in the Past,LP,1972,Rock
Jethro Tull,A Passion Play,LP,1973,Rock
Jethro Tull,War Child,LP,1974,Rock
Jethro Tull,Minstrel in the Gallery,LP,1975,Rock
Jethro Tull,Too Old to Rock & Roll: Too Young to,LP,1976,Rock
Jethro Tull,Songs from the Wood,LP,1977,Rock
Jethro Tull,Heavy Horses,LP,1978,Rock
"Joel, Billy",Streetlife Serenade,LP,1974,Rock
"Joel, Billy",Turnstiles,LP,1976,Rock
"Joel, Billy",52nd Street,LP,1978,Rock
"Joel, Billy",Glass Houses,LP,1980,Rock
"Joel, Billy",Songs in the  Attic,LP,1980,Rock
"Joel, Billy",The Nylon Curtain,LP,1982,Rock
"Joel, Billy",An Innocent Man,LP,1983,Rock
"John, Elton",Don't Shoot Me ...,LP,1972,Rock
"John, Elton",Caribou,LP,1974,Rock
"Klemmer, John",Intensity,LP,1973,Jazz
"Klemmer, John",Fresh Feathers,LP,1974,Jazz
"Klemmer, John",Touch,LP,1975,Jazz
"Klemmer, John",Barefoot Ballet,LP,1976,Jazz
"Klemmer, John",Lifestyle,LP,1977,Jazz
"Klemmer, John",Cry,LP,1978,Jazz
"Klemmer, John",Arabesque,LP,1978,Jazz
"Klemmer, John",Brazilia,LP,1979,Jazz
"Klemmer, John",Hush,LP,1981,Jazz
"Klugh, Earl",Living Inside Your Love,LP,1976,Jazz
"Klugh, Earl",Magic in  Your Eyes,LP,1978,Jazz
"Klugh, Earl",Heart String,LP,1979,Jazz
"Klugh, Earl",Dream Come True,LP,1980,Jazz
"Klugh, Earl",Late Night Guitar,LP,1980,Jazz
"Klugh, Earl",Crazy for  You,LP,1981,Jazz
"Klugh, Earl",Low Ride,LP,1983,Jazz
"Klugh, Earl",Nightsongs,LP,1984,Jazz
L.A. Express,L.A. Express,LP,1976,Jazz
L.A. Express,Shadow Play,LP,1976,Jazz
"Larson, Nicolette",Nicolette,LP,1978,Soft Rock
"Larson, Nicolette",In the Nick of Time,LP,1979,Rock
"Laws, Hubert",The Chicago Theme,LP,1975,Jazz
"Laws, Hubert",Romeo & Juliet,LP,1976,Jazz
"Laws, Hubert",Sat it  with Silence,LP,1978,Jazz
"Laws, Hubert",Land of Passion,LP,1979,Jazz
"Laws, Ronnie",Flame,LP,1978,Jazz
Led Zeppelin,,LP,1971,Rock
Led Zeppelin,In through the Out Door,LP,1979,Rock
"Lewis, Ramsey",Salongo,LP,1976,Jazz
"Lewis, Ramsey",Routes,LP,1980,Jau
Loggins & Messina,Loggins & Messina,LP,1972,Rock
"Loggins, Kenny",Alive,LP,1980,Rock
Maddy Prior & June Tabor,Silly Sisters,LP,1976,Soft Rock
"Mangione, Chuck",Bellavia,LP,1975,Jazz
"Mangione, Chuck",Feels So Good,LP,1977,Jazz
"Mann, Herbie",Waterbed,LP,1979,Jazz
"Mason, Dave",Mariposa de Oro,LP,1978,Soft Rock
"McAnally, Mac",Mac McAnally,LP,1977,Rock
"McAnally, Mac",No Problem Here,LP,1978,Rock
"McAnally,  Mac",Cuttin' Corners,LP,1980,Rock
"Mccann, Les",Fish this Week,LP,1973,Jazz
"McGarrigle, Kate & Anna",Kate & Anna McGarrigle,LP,1975,Soft Rock
"McGarrigle, Kate & Anna",Dancer with Bruised Knees,LP,1977,Soft Rock
Men  at Work,Business as Usual,LP,1982,Rock
"Monroe, Bill",Greatest Hits,LP,1980,Country
"Moody Blues, The",On the Threshold of a Dream,LP,1969,Rock
"Moody Blues, The",Seventh Sojourn,LP,1972,Rock
"Moody Blues, The",Long Distance Voyager,LP,1981,Rock
"Mouzon, Alphonse",The Man Incognito,LP,1976,Jazz
"Nero, Peter",Greatest Hits,LP,1974,Jazz
"Newman, Randy",Sail Away,LP,1972,Rock
"Newman, Randy",Good Old Boys,LP,1974,Rock
"Newman, Randy",Little Criminals,LP,1977,Rock
"Niewood, Gerry",Time Piece,LP,1977,Jazz
Nitty Gritty Dirt Band,Will the Circle be Unbroken,LP,1972,Country
"Outlaws, The",Wanted,LP,1976,Country
"Ozark Mountain Dare Devils, Thi",The Ozark Mountain Dare Devils,LP,1973,Rock
Pat Methany Group,American Garage,LP,1979,Jazz
Pat Methany Group,New Chautauqua,LP,1979,Jazz
"Paul McCarthy, Paul",Band on the  Run,LP,1973,Rock
"Pepper, Art",Early Art,LP,1976,Jazz
Poco,Legend,LP,1978,Rock
Pure Prarie League,Bustin' Out,LP,1972,Rock
"Purim, Flora",Open Your Eyes - You can Fly,LP,1976,Jazz
"Purim, Flora",Nothing Will Be as it  was Tomorrow,LP,1977,Jazz
"Purim, Flora",That's What She Said,LP,1978,JAZZ
"Rampal, Jean Paul",Suite for  Flute and Jazz Piano,LP,1975,Jazz
"Rampa!, Jean Paul",Picnic Suite,LP,1980,Jazz
"Redbone, Leon",Double Time,LP,1977,Rock
"Redbone, Leon",Champagne Charlie,LP,1978,Rock
"Roaches, The",The Roaches,LP,1979,Soft Rock
"Rollins, Sonny",Easy Living,LP,1978,Jazz
"Ross, Diana",Diana,LP,1980,Rock
"Ross, Diana",Why do Fools Fall in Love,LP,1981,Soft Rock
"Russell, Leon",Carnie,LP,1972,Rock
"Russell, Leon",Stop All That Jazz,LP,1974,Rock
"Russell, Leon",Will of the Wisp,LP,1975,Rock
"Sample, Joe",Rainbow Seeker,LP,1978,Jazz
"Sample, Joe",Carmel,LP,1979,Jazz
"Satterfield, Esther",The Need to  Be,LP,1976,Jazz
"Scaggs, Boz",Down two then Left,LP,1977,Rock
"Scaggs, Boz",Middle Man,LP,1980,Rock
"Scott, Tom",New York Connection,LP,1975,Jazz
"Scott, Tom",Tom Cat,LP,1975,Jazz
"Scott, Tom",Blow it Out,LP,1977,Jazz
"Scott, Tom",Intimate Strangers,LP,1978,Jazz
"Scott, Tom",Apple Juice,LP,1981,Jazz
Sea Level,Sea level,LP,1977,jazz
Sea Level,Cats on the  Coast,LP,1977,Jazz
Seals & Croft,Summer Breeze,LP,1971,Soft Rock
Seals & Croft,Diamond Girl,LP,1973,Rock
Seals & Croft,Unborn Child,LP,1973,Rock
Seals & Croft,I'll Play for  You,LP,1975,Rock
"Seeger, Pete",Freight Train,LP,1964,Country
Simon & Garfunkle,Sounds of Silence,LP,1965,Soft Rock
Simon & Garfunkle,Bookends,LP,1967,Soft Rock
"Simon, Caryl",No Secrets,LP,1972,Soft Rock
"Simon, Caryl",Hotcakes,LP,1974,Soft Rock
Spirit,Spirit,LP,1968,Rock
Spirit,Twelve Dreams of Dr. Sardonicus,LP,1970,Rock
"Springfield, Bruce","The Wild, the Innocent & the E Street'.",LP,1973,Rock
"Springfield, Bruce",LIVE 1975-1985,LP,1986,Rock
Spyro Gyra,Morning Dance,LP,1979,Jazz
Spyro Gyra,Carnaval,LP,1980,Jazz
Spyro Gyra,Catching the  Sun,LP,1980,Jazz
SpyroGyra,Freetime,LP,1981,Jazz
Spyro Gyra,City Kids,LP,1983,Jazz
Steeleye Span,Parcel of Rogues,LP,1973,Soft Rock
Steeleye Span,Now  we are Six,LP,1974,Rock
Steely Dan,Can't Buy a Thrill,LP,1972,Rock
Steely Dan,Can't Buy a Thrill,LP,1972,Rock
Steely Dan,Countdown to Ecstacy,LP,1973,Rock
Steely Dan,Aja,LP,1977,Rock
Steely Dan,Gaucho,LP,1980,Rock
"Stevens, Cat",Teaser and the Firecat,LP,1970,Soft Rock
"Stevens, Cat",Catch Bull at Four,LP,1972,Soft Rock
"Stewart, Al",Time Passages,LP,1978,Rock
"Stills, Stephen",Manassas,LP,1972,Rock
"Stills, Stephen",Manassas - Down the Road,LP,1973,Rock
Stuff,Stuff,LP,1976,Jazz
Stuff,More Stuff,LP,1977,Jazz
Stuff,Stuff It,LP,1979,Jazz
"Taylor, James",One Man Dog,LP,1972,Soft Rock
"Taylor, James",Walking Man,LP,1974,Soft Rock
"Taylor, James",Gorilla,LP,1975,Soft Rock
"Taylor, James",In the  Pocket,LP,1976,Soft Rock
"Taylor, James",JT,LP,1977,Soft Rock
"Taylor, James",Flag,LP,1979,Soft Rock
"Taylor, Kate",Kate Taylor,LP,1978,Soft Rock
"Taylor, Livingston",Over the  Rainbow,LP,1973,Soft Rock
"Taylor, Livingston",3 Way Mirror,LP,1978,Soft Rock
"Tee, Richard",Natural Ingredients,LP,1980,Jazz
Tim Weisberg Band,The Tim Weisberg Band,LP,1977,Jazz
Top  Gun,Soundtrack,LP,1986,Soundtrack
TOTO,IV,LP,1982,Rock
Traffic,The Low Spark of High Heel Boys,LP,1971,Rock
Traffic,Shoot out at the Fantasy Factory,LP,1973,Rock
Traffic,When the Eagle Flies,LP,1974,Rock
"Tyner, McCoy",Focal Point,LP,1976,Jazz
Uriah Heep,Look at Yourself,LP,1971,Rock
Uriah Heep,Demons and Wizards,LP,1972,Rock
Uriah Heep,The Magician's Birthday,LP,1972,Rock
Vivaldi,The Four Seasons,LP,1959,Classical
"Waits, Tom",Nighthawks at the Diner,LP,1975,Rock
"Waits, Tom",Small Change,LP,1976,Rock
"Waits, Tom",Blue Valentine,LP,1978,Rock
"Walsh, Joe",But seriously Folks,LP,1978,Rock
"Washington Jr., Grover",Reed Seed,LP,1978,Jazz
WHO,Who's Next,LP,1971,Rock
Wings,London Town,LP,1978,Rock
Wings,back to the Egg,LP,1979,Rock
"Wonder, Stevie",Talking Book,LP,1972,Rock
"Wonder, Stevie",lnnervisions,LP,1973,Rock
"Wonder, Stevie",Fulfillingness' First Finale,LP,1974,Rock
"Wonder, Stevie",Songs in the  Key of  Life,LP,1976,Rock
"Wonder, Stevie",The Secret life of Plants,LP,1979,Rock
"Wonder, Stevie",Hotter than July,LP,1980,Rock
"Wonder, Stevie",Greatest Hits Vol. 2,LP,1971,Rock
Yes,Fragile,LP,1972,Rock
"Young, Neil",Harvest,LP,1972,Rock
"Young, Neil",Comes a Time,LP,1978,Rock
"Zukerman, Pinchas",Suite for  Violin and Jazz Piana,LP,1978,Jazz
